 2015-09-24 13:59:43,482 [P18564/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0-RC application starting on MW1008
 2015-09-24 13:59:43,529 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-09-24 13:59:43,538 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2015-09-24 13:59:43,654 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-09-24 13:59:43,944 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 290ms)
 2015-09-24 13:59:43,958 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-09-24 13:59:43,968 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 10ms)
 2015-09-24 13:59:43,969 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-09-24 13:59:43,979 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 10ms)
 2015-09-24 13:59:43,992 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-09-24 13:59:44,006 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 13ms)
 2015-09-24 13:59:44,007 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-09-24 13:59:44,032 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 25ms)
 2015-09-24 13:59:44,076 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-09-24 13:59:44,083 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 7ms)
 2015-09-24 13:59:44,084 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-09-24 13:59:44,096 [P18564/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 11ms)
 2015-09-24 13:59:44,681 [P18564/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-09-24 13:59:44,851 [P18564/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-09-24 13:59:44,958 [P18564/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-09-24 13:59:44,974 [P18564/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-09-24 13:59:44,990 [P18564/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-09-24 13:59:45,048 [P18564/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 4
 2015-09-24 13:59:45,058 [P18564/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1639ms)
